value,timestamp
1536,
1488,
1408,
1520,189.974037697
1504,
1520,
1552,
1568,
1504,
1568,
1552,
1552,
1568,
1488,
1520,
1520,
1584,
1520,
1440,
1568,
1568,
1552,
1568,
1568,
1536,
1552,
1552,
1584,
1536,
1552,
1552,
1552,
1520,
1472,190.004413919
1520,
1536,
1488,
1552,
1568,
1568,
1552,
1488,
1536,
1568,
1488,
1568,
1520,
1552,
1504,
1584,
1520,
1552,
1552,
1584,
1552,
1520,
1552,
1536,
1520,
1568,
1520,
1520,
1552,
1568,190.034421985
1536,
1552,
1584,
1584,
1520,
1504,
1504,
1520,
1552,
1584,
1536,
1504,
1504,
1552,
1456,
1520,
1552,
1552,
1552,
1536,
1504,
1488,
1536,
1536,
1504,
1536,
1552,
1456,
1504,
1568,190.064579618
1520,
1552,
1536,
1472,
1536,
1520,
1552,
1488,
1456,
1552,
1520,
1552,
1552,
1552,
1520,
1536,
1584,
1504,
1536,
1552,
1520,
1520,
1504,
1552,
1520,
1440,
1552,
1552,
1456,
1568,190.094193754
1552,
1504,
1520,
1552,
1536,
1536,
1488,
1568,
1552,
1552,
1552,
1536,
1568,
1568,
1536,
1520,
1552,
1520,
1584,
1520,
1600,
1504,
1568,
1520,
1520,
1440,
1568,
1520,
1536,
1504,190.124445931
1520,
1472,
1440,
1536,
1504,
1504,
1552,
1472,
1552,
1552,
1520,
1552,
1536,
1520,
1504,
1520,
1552,
1520,
1520,
1568,
1536,
1520,
1536,
1552,
1552,
1552,
1520,
1488,
1536,
1488,
1568,190.154297624
1504,
1472,
1520,
1552,
1584,
1504,
1536,
1552,
1568,
1488,
1568,
1488,
1520,
1600,
1536,
1552,
1552,
1536,
1552,
1536,
1520,
1568,
1552,
1504,
1520,
1568,
1568,
1520,
1536,190.184401372
1520,
1536,
1504,
1520,
1568,
1568,
1536,
1568,
1584,
1552,
1552,
1520,
1536,
1488,
1520,
1520,
1552,
1504,
1520,
1568,
1568,
1520,
1520,
1552,
1536,
1520,
1552,
1536,
1504,
1568,190.229526652
1552,
1504,
1520,
1488,
1552,
1520,
1536,
1488,
1536,
1520,
1520,
1520,
1568,
1520,
1520,
1552,
1536,
1520,
1472,
1552,
1568,
1568,
1536,
1536,
1520,
1520,
1536,
1536,
1536,
1552,190.259224558
1504,
1520,
1552,
1504,
1552,
1536,
1552,
1520,
1552,
1568,
1536,
1536,
1552,
1520,
1504,
1488,
1536,
1536,
1568,
1552,
1520,
1568,
1520,
1552,
1520,
1552,
1488,
1536,
1488,
1488,
1504,
1568,
1552,
1456,
1456,
1520,
1568,
1504,
1552,
1520,
1568,
1456,
1584,
1552,
1536,190.289533413
1552,
1584,
1568,
1504,
1568,
1568,
1552,
1520,
1584,
1536,
1584,
1536,
1568,
1552,
1568,
1568,
1520,
1568,
1552,
1520,
1568,
1568,
1552,
1552,
1520,
1584,
1568,
1568,
1568,
1584,190.319429183
1552,
1584,
1584,
1552,
1568,
1568,
1568,
1472,
1600,
1488,
1552,
1568,
1600,
1584,
1568,
1520,
1552,
1488,
1520,
1568,
1552,
1552,
1472,
1568,
1584,
1584,
1520,
1552,
1520,
1520,190.349423291
1504,
1552,
1536,
1520,
1552,
1520,
1568,
1568,
1552,
1552,
1552,
1568,
1568,
1520,
1568,
1520,
1584,
1568,
1520,
1520,
1568,
1552,
1552,
1584,
1536,
1520,
1488,
1552,
1584,
1520,190.379145048
1568,
1504,
1552,
1536,
1552,
1536,
1568,
1520,
1456,
1520,
1520,
1456,
1520,
1504,
1552,
1568,
1520,
1552,
1504,
1520,
1520,
1504,
1488,
1488,
1552,
1520,
1424,
1504,
1536,
1520,190.409542873
1552,
1520,
1552,
1504,
1552,
1536,
1552,
1536,
1552,
1552,
1552,
1488,
1488,
1568,
1520,
1504,
1520,
1536,
1552,
1456,
1552,
1552,
1568,
1552,
1520,
1568,
1520,
1504,
1536,
1520,190.439553347
1536,
1584,
1552,
1536,
1584,
1568,
1552,
1584,
1552,
1536,
1584,
1536,
1568,
1488,
1568,
1520,
1584,
1584,
1552,
1520,
1584,
1568,
1584,
1552,
1536,
1552,
1584,
1584,
1552,
1568,190.469109154
1488,
1584,
1536,
1552,
1472,
1552,
1584,
1568,
1568,
1568,
1568,
1568,
1600,
1584,
1536,
1568,
1584,
1552,
1584,
1472,
1568,
1584,
1552,
1504,
1568,
1568,
1552,
1520,
1520,
1568,190.499442632
1584,
1552,
1568,
1568,
1488,
1552,
