value,timestamp
1184,
1216,
1184,
1168,
1232,
1232,
1216,
1216,
1200,
1312,
1232,
1296,
1296,
1280,
1232,
1232,
1232,
1216,
1200,
1232,363.649969568
1248,
1200,
1232,
1232,
1200,
1232,
1232,
1312,
1296,
1184,
1184,
1200,
1184,
1216,
1168,
1184,
1168,
1200,
1152,
1184,
1232,
1200,
1232,
1216,
1184,
1200,
1200,
1280,
1152,
1232,363.680309669
1152,
1200,
1136,
1168,
1136,
1152,
1168,
1200,
1296,
1184,
1264,
1152,
1184,
1280,
1200,
1136,
1168,
1168,
1152,
1152,
1168,
1200,
1168,
1168,
1168,
1168,
1280,
1152,
1168,363.709880197
1168,
1264,
1200,
1152,
1200,
1216,
1168,
1168,
1136,
1152,
1168,
1168,
1120,
1280,
1168,
1312,
1168,
1280,
1168,
1136,
1232,
1168,
1168,
1136,
1152,
1104,
1200,
1152,
1200,
1280,
1296,363.739887344
1184,
1296,
1184,
1136,
1184,
1200,
1184,
1184,
1200,
1168,
1152,
1168,
1184,
1248,
1152,
1120,
1280,
1184,
1168,
1312,
1184,
1264,
1232,
1216,
1200,
1152,
1136,
1136,
1168,
1216,363.769677585
1200,
1168,
1184,
1280,
1216,
1152,
1200,
1152,
1200,
1200,
1232,
1136,
1168,
1152,
1152,
1168,
1152,
1168,
1184,
1296,
1264,
1216,
1216,
1232,
1184,
1168,
1184,
1168,
1152,
1152,363.800008852
1120,
1232,
1136,
1200,
1200,
1136,
1184,
1280,
1296,
1216,
1184,
1232,
1200,
1200,
1200,
1152,
1152,
1216,
1136,
1104,
1264,
1184,
1296,
1264,
1200,
1248,
1168,
1184,
1264,
1248,363.829858252
1152,
1200,
1184,
1168,
1216,
1168,
1184,
1232,
1200,
1216,
1168,
1152,
1216,
1136,
1200,
1216,
1168,
1184,
1200,
1136,
1120,
1168,
1152,
1200,
1200,
1216,
1216,
1280,
1296,
1248,363.859783123
1200,
1168,
1200,
1200,
1232,
1136,
1248,
1152,
1120,
1168,
1200,
1184,
1280,
1200,
1152,
1168,
1296,
1184,
1216,
1216,
1232,
1248,
1168,
1168,
1152,
1200,
1216,
1200,
1168,363.905323263
1296,
1280,
1280,
1184,
1184,
1232,
1248,
1216,
1200,
1216,
1168,
1200,
1184,
1168,
1184,
1232,
1232,
1296,
1248,
1248,
1200,
1296,
1168,
1232,
1248,
1216,
1200,
1232,
1184,
1168,
1264,
1264,
1232,
1232,
1216,
1328,
1280,
1232,
1280,
1168,
1232,
1216,
1216,
1152,
1168,
1168,363.94993781
1184,
1168,
1280,
1168,
1248,
1264,
1312,
1200,
1216,
1184,
1232,
1216,
1232,
1232,
1200,
1232,
1168,
1184,
1216,
1216,
1200,
1232,
1248,
1312,
1312,
1296,
1216,
1264,
1184,
1248,363.979896034
1216,
1168,
1216,
1200,
1184,
1184,
1248,
1200,
1248,
1280,
1184,
1264,
1200,
1280,
1184,
1232,
1232,
1216,
1264,
1216,
1184,
1216,
1248,
1232,
1168,
1296,
1200,
1248,
1264,
1312,
1216,
1280,
1216,
1232,
1200,
1200,
1232,
1232,
1200,
1216,
1232,
1248,
1296,
1312,
1200,364.024898067
1232,
1248,
1216,
1264,
1264,
1232,
1200,
1200,
1200,
1232,
1232,
1200,
1200,
1280,
1248,
1264,
1344,
1312,
1216,
1264,
1184,
1248,
1264,
1216,
1200,
1232,
1312,
1280,
1248,
1312,
1200,
1200,
1248,
1296,
1264,
1200,
1280,
1248,
1232,
1216,
1200,
1232,
1200,
1248,
1248,364.055253404
1248,
1344,
1296,
1296,
1264,
1200,
1216,
1200,
1216,
1248,
1232,
1216,
1200,
1216,
1216,
1264,
1232,
1312,
1232,
1248,
1344,
1296,
1232,
1280,
1248,
1248,
1232,
1312,
1216,
1248,364.100157245
1216,
1232,
1328,
1232,
1232,
1328,
1312,
1216,
1200,
1248,
1344,
1200,
1232,
1232,
1216,
1232,
1232,
1216,
1264,
1248,
1328,
1232,
1296,
1296,
1248,
1344,
1264,
1312,
1200,
1232,
1232,
1232,
1232,
1200,
1264,
1296,
1264,
1312,
1344,
1328,
1280,
1312,
1312,
1232,
1296,364.129759346
1216,
1280,
1232,
1232,
1232,
1248,
1216,
1264,
1248,
1280,
1328,
1248,
1296,
1344,
1280,
1264,
1216,
1280,
1248,
1296,
1248,
1232,
1216,
1296,
1264,
1216,
1312,
1328,
1312,
1248,364.174941277
1232,
1312,
1328,
1264,
1264,
1232,
1248,
1232,
1232,
1200,
1232,
1264,
1328,
1264,
1360,
1216,
1312,
1280,
1248,
1296,
1248,
1200,
1232,
1296,
1248,
1216,
1216,
1328,
1248,
1248,
1280,
1216,
1280,
1248,
1280,
1248,
1216,
1264,
1264,
1216,
1232,
1248,
1264,
1216,
1248,364.204804397
1248,
1328,
1344,
1328,
1280,
1248,
1232,
1216,
1328,
1248,
1248,
